Wall time,Step,Value
1588442464.3001266,0,0.734000027179718
1588442464.8704836,1,0.8700000047683716
1588442465.4275143,2,0.9430000185966492
1588442465.9758346,3,0.9620000123977661
1588442466.5216467,4,0.9739999771118164
1588442467.072287,5,0.9890000224113464
1588442467.6225097,6,0.984000027179718
1588442468.1766183,7,0.9900000095367432
1588442468.7282057,8,0.9909999966621399
1588442469.2806735,9,0.996999979019165
1588442469.835656,10,0.996999979019165
1588442470.3988307,11,0.9980000257492065
1588442470.9562473,12,0.9980000257492065
1588442471.5188396,13,0.9990000128746033
1588442472.0970094,14,1.0
1588442472.6524734,15,0.9990000128746033
1588442473.2032878,16,1.0
1588442473.7674034,17,1.0
1588442474.3407984,18,1.0
1588442474.9140482,19,1.0
1588442475.494742,20,1.0
1588442476.0952518,21,1.0
1588442476.6589885,22,1.0
1588442477.263711,23,1.0
1588442477.8318036,24,1.0
1588442478.4106343,25,1.0
1588442478.9801369,26,1.0
1588442479.5759857,27,1.0
1588442480.1753333,28,1.0
1588442480.763749,29,1.0
1588442481.3705735,30,1.0
1588442481.956856,31,1.0
1588442482.555191,32,1.0
1588442483.1476355,33,1.0
1588442483.7267714,34,1.0
1588442484.3225913,35,1.0
1588442484.9310863,36,1.0
1588442485.5356421,37,1.0
1588442486.1287272,38,1.0
1588442486.7082143,39,1.0
1588442487.3370748,40,1.0
1588442487.923985,41,1.0
1588442488.5188441,42,1.0
1588442489.1482735,43,1.0
1588442489.7633462,44,1.0
1588442490.3661253,45,1.0
1588442491.011262,46,1.0
1588442491.6364498,47,1.0
1588442492.2473385,48,1.0
1588442492.8666263,49,1.0
1588442493.4779615,50,1.0
1588442494.1079545,51,1.0
1588442494.719318,52,1.0
1588442495.3636978,53,1.0
1588442495.9684107,54,1.0
1588442496.5707986,55,1.0
1588442497.1783803,56,1.0
1588442497.790252,57,1.0
1588442498.4155483,58,1.0
1588442499.0394602,59,1.0
1588442499.6811512,60,1.0
1588442500.321079,61,1.0
1588442500.9301214,62,1.0
1588442501.5679502,63,1.0
1588442502.1955745,64,1.0
1588442502.8469627,65,1.0
1588442503.4956386,66,1.0
1588442504.1451857,67,1.0
1588442504.7717326,68,1.0
1588442505.4255362,69,1.0
1588442506.050836,70,1.0
1588442506.6551335,71,1.0
1588442507.2907887,72,1.0
1588442507.9307406,73,1.0
1588442508.5735414,74,1.0
1588442509.2181177,75,1.0
1588442509.8695085,76,1.0
1588442510.5147207,77,1.0
1588442511.1764777,78,1.0
1588442511.8147018,79,1.0
