Wall time,Step,Value
1588443916.7687192,0,0.4830000102519989
1588443917.3217251,1,0.656000018119812
1588443917.8818984,2,0.6029999852180481
1588443918.479626,3,0.6949999928474426
1588443919.0188208,4,0.7329999804496765
1588443919.5556211,5,0.7789999842643738
1588443920.1217031,6,0.8180000185966492
1588443920.6550326,7,0.8289999961853027
1588443921.187485,8,0.859000027179718
1588443921.7222714,9,0.8770000338554382
1588443922.2764294,10,0.8989999890327454
1588443922.8737128,11,0.9179999828338623
1588443923.446034,12,0.9449999928474426
1588443924.0137424,13,0.9520000219345093
1588443924.5612583,14,0.9679999947547913
1588443925.1111062,15,0.9729999899864197
1588443925.6566284,16,0.9850000143051147
1588443926.254098,17,0.9950000047683716
1588443926.7982945,18,0.9959999918937683
1588443927.360933,19,1.0
1588443927.9302006,20,1.0
1588443928.5404375,21,1.0
1588443929.1506448,22,1.0
1588443929.728881,23,1.0
1588443930.277681,24,1.0
1588443930.831807,25,1.0
1588443931.3857284,26,1.0
1588443931.9268668,27,1.0
1588443932.475646,28,1.0
1588443933.0108516,29,1.0
1588443933.556001,30,1.0
1588443934.0935733,31,1.0
1588443934.6297238,32,1.0
1588443935.1805577,33,1.0
1588443935.7330906,34,1.0
1588443936.2655962,35,1.0
1588443936.8237596,36,1.0
1588443937.384321,37,1.0
1588443937.9404895,38,1.0
1588443938.503283,39,1.0
1588443939.0586047,40,1.0
1588443939.6182868,41,1.0
1588443940.1675546,42,1.0
1588443940.7310243,43,1.0
1588443941.2945104,44,1.0
1588443941.8625374,45,1.0
1588443942.4288037,46,1.0
1588443942.9889276,47,1.0
1588443943.6407118,48,1.0
1588443944.1869733,49,1.0
1588443944.7529721,50,1.0
1588443945.3240898,51,1.0
1588443945.8944044,52,1.0
1588443946.4517598,53,1.0
1588443947.0350122,54,1.0
1588443947.6132407,55,1.0
1588443948.1779895,56,1.0
1588443948.7439067,57,1.0
1588443949.3391907,58,1.0
1588443949.9286633,59,1.0
1588443950.5080187,60,1.0
1588443951.0914443,61,1.0
1588443951.6475546,62,1.0
1588443952.2108588,63,1.0
1588443952.802103,64,1.0
1588443953.377138,65,1.0
1588443953.9744895,66,1.0
1588443954.558394,67,1.0
1588443955.1307392,68,1.0
1588443955.7224362,69,1.0
1588443956.3151507,70,1.0
1588443956.9111192,71,1.0
1588443957.5015373,72,1.0
1588443958.123448,73,1.0
1588443958.7024693,74,1.0
1588443959.298213,75,1.0
1588443959.884547,76,1.0
1588443960.4722693,77,1.0
1588443961.052215,78,1.0
1588443961.624788,79,1.0
