Wall time,Step,Value
1588444461.3918514,0,0.5540000200271606
1588444461.9781,1,0.5799999833106995
1588444462.5420325,2,0.5799999833106995
1588444463.1048357,3,0.6830000281333923
1588444463.6739426,4,0.7720000147819519
1588444464.2419367,5,0.7960000038146973
1588444464.812157,6,0.7910000085830688
1588444465.3757915,7,0.828000009059906
1588444465.9463918,8,0.8460000157356262
1588444466.5255172,9,0.8669999837875366
1588444467.092267,10,0.8939999938011169
1588444467.6609006,11,0.9050000309944153
1588444468.2336137,12,0.9229999780654907
1588444468.7982397,13,0.9309999942779541
1588444469.3721216,14,0.937000036239624
1588444469.9519608,15,0.9679999947547913
1588444470.5348468,16,0.9739999771118164
1588444471.0960207,17,0.9829999804496765
1588444471.6811554,18,0.9930000305175781
1588444472.2573977,19,0.9959999918937683
1588444472.8393738,20,0.9959999918937683
1588444473.4338944,21,0.9980000257492065
1588444474.024723,22,1.0
1588444474.6121695,23,1.0
1588444475.2007532,24,1.0
1588444475.791643,25,1.0
1588444476.3733,26,1.0
1588444476.963562,27,1.0
1588444477.5322325,28,1.0
1588444478.1503985,29,1.0
1588444478.7429163,30,1.0
1588444479.3206205,31,1.0
1588444479.910719,32,1.0
1588444480.5050595,33,1.0
1588444481.0898967,34,1.0
1588444481.7350528,35,1.0
1588444482.3269894,36,1.0
1588444482.9410365,37,1.0
1588444483.562137,38,1.0
1588444484.171315,39,1.0
1588444484.8008997,40,1.0
1588444485.417985,41,1.0
1588444486.0168257,42,1.0
1588444486.6648614,43,1.0
1588444487.2759464,44,1.0
1588444487.9581175,45,1.0
1588444488.648809,46,1.0
1588444489.284757,47,1.0
1588444489.875492,48,1.0
1588444490.477691,49,1.0
1588444491.0754313,50,1.0
1588444491.680051,51,1.0
1588444492.306874,52,1.0
1588444492.9081304,53,1.0
1588444493.529735,54,1.0
1588444494.1561055,55,1.0
1588444494.7779179,56,1.0
1588444495.4185677,57,1.0
1588444496.017145,58,1.0
1588444496.6247253,59,1.0
1588444497.2279913,60,1.0
1588444497.8632374,61,1.0
1588444498.4889572,62,1.0
1588444499.1218479,63,1.0
1588444499.7427187,64,1.0
1588444500.3518763,65,1.0
1588444500.9777675,66,1.0
1588444501.591305,67,1.0
1588444502.1983337,68,1.0
1588444502.8251395,69,1.0
1588444503.472079,70,1.0
1588444504.1044314,71,1.0
1588444504.7252235,72,1.0
1588444505.360047,73,1.0
1588444506.004377,74,1.0
1588444506.6479354,75,1.0
1588444507.2755704,76,1.0
1588444507.9130595,77,1.0
1588444508.551167,78,1.0
1588444509.1986275,79,1.0
